Waktu daftar hari terakhir|waktu terasa banyak terbuang|Kamu nggak perlu khawatir|cintaku hanya untukmu seorang
Api kecil dari tungku|apinya kecil habis kayu|Sudah lama kutunggu-tunggu|kapan kamu bilang I love you
Ayam goreng setengah mateng|belinya di depan tugu|Abang sayang, abangku ganteng|Neng di sini setia menunggu
Jalanan lagi lancar|itu adalah sebuah berkah|Aku bukan nyari pacar|tapi nyari yang mau diajak nikah
Minum sekoteng hangat rasanya|minum segelas ada yang minta|Laki-laki ganteng siapa yang punya?|Bolehkah aku jatuh cinta
Bagaimana memanjat pohon randu?|Tangan di atas kaki ke hulu|Bagaimana hati tak rindu?|Pacarnya lembut suka melucu
Paling banyak burung gelatik|di atas terbang melayang|Memang banyak wanita cantik|cuma engkau yang aku sayang
Seribu bebek di kandang singa|hanya satu berwarna belang|Beribu cewek di Indonesia|hanya engkau yang aku sayang
Bawa paku dipukul batu|dicampur jamu di atas tungku|Cintaku cukuplah satu|untuk kamu sepanjang waktu
Air mawar di dalam cangkir|disimpan kendi di bawah parang|Sedari awal hinggalah akhir|sayangku tercurah untukmu seorang
Sapu rumah hingga bersih|atapnya satu dibawa pergi|Tatap mataku wahai kekaih|cintaku satu tak terbagi-bagi
Daging ayam dibuat gulai|buat dimakan kita nanti|Dirimu seorang yang ternilai|takkan pernah bisa diganti
Tak usah menggurui|dia itu kepala suku|Perlu kamu ketahui|kamu adalah semangat hidupku
Air arak diharamkan|karenanya banyak nyawa melayang|Meskipun jarak memisahkan|semua itu bukan penghalang
Jalan – jalan ke Kota Ratu|beli roti berisi bulu|Mari cantik kita bersatu|menjalin cinta di depan penghulu
Langit biru terlihat sendu|warna hijau biru dan semu|Jarak jauh tumbuhkan rindu|ingin selalu dekat denganmu
Berlabuh orang menunggu|hendak berlayar ke Siantar|Kalau jauh terasa rindu|jika berjumpa terasa sebentar
Patah dahan disambungkan|hendak hati disatukan|Kepada Tuhan kita mohonkan|agar cepat dipertemukan
Meski hanya sebuah jambu|tetap bisa dibuat jamu|Meski jarang kita bertemu|cintaku tetap hanya untukmu
Jikalau ikan di dalam kolam|bunganya tumbuh di tengah taman|Jikalau cintaku sudah mendalam|jaraknya jauh tak ku hiraukan
Wahai seruling buluh perindu|suaranya memikatku|Wahai gadis pujaanku|aku sangat cinta kamu
Nunggu angkot di belokan|Naik angkot bertemu kamu|Ingin segera ku ungkapkan|Rasa cinta ini kepadamu  
Di semak ada kemumu|Hinggap di daun bunganya biru|Hai adek berjilbab biru|Hati tergerak ingin tahu namamu
Jangan pegang duri Mawar|Durinya sungguh tajam sekali|Melihat adik rindu tertawar|Siapa namamu si pelita hati ? 
Kupu-kupu hingga di alis|Letakkan kepala di atas bantal|Untuk kamu pemilik senyum manis|Tak tertahan lagi ingin mengenal
Ada ayam ada itik|Berjalan sambil mengangguk-angguk|Selamat malam wanita cantik|Kenalan yuuk
Pergi ke kebun memanen kacang|Jalan ke kebun lewati aspal|Pemilik rambut terurai panjang|Bolehkan kita saling kenal ? 
Bunga kembang jangan dipetik|Nanti tak lagi indah menawan|Untuk kamu yang berwajah cantik|Bolehkah kita berkenalan ? 
Sebelum Adzan Tabuh di pukul|Marilah shalat perbanyak amal|Untuk kamu bergigi gingsul|Hati bergejolak ingin mengenal
Makan nasi ditemani bakwan|Minumnya dengan air susu|Wahai nona cantik rupawan|Bolehkan aku tahu namamu ? 
Di Jam Gadang banyak Badut|Membuat anak-anak jadi gembira|Pria mana yang tak terpincut|Ingin kenal denganmu sang jelita
Jilbab putih dan abu-abu|Dipakai dengan indahnya gamis|Bolehkah ku tahu namamu|Untuk kamu yang senyumnya manis
Jalan-jalan ke Ciamis|Kangan lupa membeli Rambutan|Untuk adinda yang berwajah manis|Bolehkah abang kenalan ? 
Aceh terkenal si Bungong Jeumpa|Dijadikan pengiring Tari Saman|Adik cantik siapa yang punya|Bolehkan kita untuk berkenalan ? 
